route_count,name,north,north_east,east,south_east,south,south_west,west,north_west,summer,autumn,winter,spring,latitude,longitude,region,rocks,photo,1a,1b,1c,2a,2b,2c,3a,3b,3c,4a,4b,4c,5a,5b,5c,6a,6b,6c,7a,7b,7c,8a,8b,8c,9a,9b,9c,sport_climbing,bouldering,multi_pitch,trad_climbing,aid_climbing,deep_water,via_ferrata
20.0,Montiroche,False,False,False,False,False,False,False,False,False,False,False,False,48.03477,6.569101,Vosges,['migmatite'],https://storage.oblyk.org/cdn-cgi/image/:variant/dabh3ll5ixkrmqhya45o87agkl10,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,5,4,2,2,1,0,0,0,0,0,0,0,20,0,0,0,0,0,0
33.0,St Amé - Petit rocher,False,False,False,False,False,False,False,False,False,False,False,False,48.029512,6.66342,Vosges,['granite'],https://storage.oblyk.org/cdn-cgi/image/:variant/yy2x62q7sqw0eq38fyk6v0k45xuj,0,0,0,0,0,0,1,2,1,0,2,0,1,4,10,6,2,0,3,0,0,0,1,0,0,0,0,33,0,0,0,0,0,0
19.0,Les rangs de mars,False,False,False,False,False,False,False,False,False,False,False,False,44.604847,5.015727,Drôme,['limestone'],https://storage.oblyk.org/cdn-cgi/image/:variant/fhich37uulpru6tglw3qcubawpe9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,7,7,1,1,0,0,0,19,0,0,0,0,0,0
11.0,Label,False,False,False,False,False,False,False,False,False,False,False,False,44.602225,5.171185,Drôme,['limestone'],https://storage.oblyk.org/cdn-cgi/image/:variant/vzo2gjfl21dreujk5656prx1onvq,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,3,1,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
68.0,Trou de la lune,False,False,False,False,False,False,True,False,False,True,False,True,46.837016,5.715881,Jura,['limestone'],https://storage.oblyk.org/cdn-cgi/image/:variant/nw6p6gqh9lo8473oq5nz2omituib,0,0,0,0,0,0,0,1,0,1,1,7,2,3,7,14,6,11,10,7,2,3,1,0,0,0,0,61,0,7,0,0,0,0
48.0,Carrière Philippe Mengin - carrière collot,True,False,False,False,False,False,True,False,False,False,False,False,48.1734,6.457038,Vosges,['sandstone'],https://storage.oblyk.org/cdn-cgi/image/:variant/uymruyzkv2uh3zkrcqbxn4weoyx7,0,0,0,0,0,0,1,0,1,3,0,3,3,4,7,7,6,8,3,1,1,0,0,0,0,0,0,48,0,0,0,0,0,0
19.0,Pierre de la roche - voie,True,False,True,False,True,False,False,False,True,True,False,True,48.23446,6.86916,Vosges,['sandstone'],https://storage.oblyk.org/cdn-cgi/image/:variant/kljk65pbmvaim7w2lzj7fymjg05e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,2,9,2,0,0,0,0,0,0,0,19,0,0,0,0,0,0
58.0,Pierre de la roche - bloc,True,False,True,False,True,False,False,False,False,False,False,False,48.234011,6.86941,Vosges,['sandstone'],https://storage.oblyk.org/cdn-cgi/image/:variant/1aec403ptu8nabnt7cpwhxmzkh1x,0,0,0,0,0,0,0,3,0,0,4,0,4,6,8,23,4,4,2,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0
24.0,Roche fleurie,False,False,True,False,False,False,False,False,False,False,False,False,48.04422,6.58068,Vosges,['migmatite'],https://storage.oblyk.org/cdn-cgi/image/:variant/e494j1exrvsic33fdsa7qj8c1rtn,0,0,0,0,0,0,1,2,4,0,5,10,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0
19.0,HAB,False,False,False,False,False,False,False,False,False,False,False,False,48.30277,6.845225,Vosges,['sandstone'],https://storage.oblyk.org/cdn-cgi/image/:variant/ejvtdm6t2qhfetvlq42wj1abidtv,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,4,7,4,1,0,0,0,0,0,0,19,0,0,0,0,0
